# Hp07_10cm_shield_Otto2016
#     unit:            uSv/h/GBq
#A    isotope    Hp07_10cm_shield
106   Sn                  9400.0
108   Sn                  8600.0
109   Sn                  6700.0
110   Sn                  6100.0
111   Sn                  3900.0
113   Sn                  2700.0
113   Sn_isomer           1700.0
117   Sn_isomer           4700.0
119   Sn_isomer           2000.0
121   Sn                     0.0
121   Sn_isomer            500.0
123   Sn                     0.0
123   Sn_isomer           2800.0
125   Sn                   800.0
125   Sn_isomer           3400.0
126   Sn                  2100.0
127   Sn                  5200.0
127   Sn_isomer           2900.0
128   Sn                  8300.0
129   Sn                  3400.0
130   Sn                  7700.0
130   Sn_isomer           4300.0
111   Sb                  9800.0
113   Sb                  8200.0
114   Sb                  8500.0
115   Sb                  6700.0
116   Sb                  6900.0
116   Sb_isomer          12700.0
117   Sb                  5300.0
118   Sb                  5200.0
118   Sb_isomer          12700.0
119   Sb                  3000.0
120   Sb                  4000.0
120   Sb_isomer          11800.0
122   Sb                  2300.0
122   Sb_isomer           3500.0
124   Sb                  4600.0
124   Sb_isomer           2200.0
124   Sbn                    0.0
125   Sb                  4200.0
126   Sb                 11600.0
126   Sb_isomer           7300.0
127   Sb                  3500.0
128   Sb                 12700.0
128   Sb_isomer           8300.0
129   Sb                  3900.0
130   Sb                 13400.0
130   Sb_isomer           8500.0
131   Sb                  4800.0
133   Sb                  4600.0
113   Te                  7900.0
114   Te                  7000.0
115   Te                  8500.0
115   Te_isomer           8300.0
116   Te                  4400.0
117   Te                  5800.0
118   Te                  2300.0
119   Te                  5100.0
119   Te_isomer           7600.0
121   Te                  5300.0
121   Te_isomer           4400.0
123   Te                     0.0
123   Te_isomer           3800.0
125   Te_isomer           3500.0
127   Te                     0.0
127   Te_isomer           1100.0
129   Te                   800.0
129   Te_isomer            900.0
131   Te                  3500.0
131   Te_isomer           5700.0
132   Te                  5400.0
133   Te                  4800.0
133   Te_isomer           6500.0
134   Te                  6600.0
118   I                   9400.0
118   I_isomer           16200.0
119   I                   8100.0
120   I                   8600.0
120   I_isomer           14200.0
121   I                   6100.0
122   I                   5800.0
123   I                   5000.0
124   I                   5600.0
125   I                   4300.0
126   I                   3400.0
128   I                    600.0
129   I                   2000.0
130   I                   9100.0
130   I_isomer            1000.0
131   I                   3400.0
132   I                   7400.0
132   I_isomer            2600.0
133   I                   3000.0
134   I                   7200.0
134   I_isomer            5300.0
135   I                   2900.0
120   Xe                  6200.0
121   Xe                  6900.0
122   Xe                  2600.0
123   Xe                  5900.0
125   Xe                  6100.0
127   Xe                  6200.0
127   Xe_isomer           4000.0
129   Xe_isomer           3600.0
131   Xe_isomer           1500.0
133   Xe                  1800.0
133   Xe_isomer           1800.0
135   Xe                  3400.0
135   Xe_isomer           2700.0
137   Xe                  1000.0
138   Xe                  3400.0
121   Cs                  7600.0
121   Cs_isomer           8700.0
123   Cs                  7400.0
124   Cs                  6800.0
125   Cs                  5300.0
126   Cs                  7000.0
127   Cs                  5100.0
128   Cs                  5700.0
129   Cs                  4800.0
130   Cs                  3900.0
130   Cs_isomer           3000.0
131   Cs                  1900.0
132   Cs                  4700.0
134   Cs                  5900.0
134   Cs_isomer           1200.0
135   Cs                     0.0
135   Cs_isomer           4600.0
136   Cs                  7400.0
137   Cs                     0.0
