#     unit:            uSv/h/GBq
#A    isotope    Hp10_100cm_unshield
156   Eu                   176.0
157   Eu                    58.0
158   Eu                   235.0
159   Eu                    62.0
142   Gd                   289.0
143   Gd_isomer           1122.0
144   Gd                   133.0
145   Gd                   299.0
145   Gd_isomer            175.0
146   Gd                    65.0
147   Gd                   236.0
148   Gd                     0.0
149   Gd                   101.0
150   Gd                     0.0
151   Gd                    22.0
152   Gd                     0.0
153   Gd                    32.0
159   Gd                    11.0
162   Gd                    73.0
146   Tb                  2005.0
147   Tb                   300.0
147   Tb_isomer            239.0
148   Tb                   744.0
148   Tb_isomer            481.0
149   Tb                   203.0
149   Tb_isomer            198.0
150   Tb                   388.0
150   Tb_isomer            405.0
151   Tb                   175.0
151   Tb_isomer             16.0
152   Tb                   221.0
152   Tb_isomer            137.0
153   Tb                    67.0
154   Tb                   310.0
155   Tb                    44.0
156   Tb                   308.0
156   Tb_isomer             12.0
156   Tbn                    1.0
157   Tb                     2.0
158   Tb                   134.0
160   Tb                   175.0
161   Tb                    15.0
162   Tb                   181.0
163   Tb                   137.0
164   Tb                   411.0
165   Tb                   145.0
148   Dy                   118.0
149   Dy                   239.0
150   Dy                    53.0
151   Dy                   214.0
152   Dy                    58.0
153   Dy                   152.0
154   Dy                     0.0
155   Dy                   113.0
157   Dy                    69.0
159   Dy                    17.0
165   Dy                     5.0
165   Dy_isomer              4.0
166   Dy                    12.0
167   Dy                    93.0
168   Dy                    71.0
150   Ho                  3256.0
153   Ho                   159.0
153   Ho_isomer            191.0
154   Ho                   884.0
154   Ho_isomer            392.0
155   Ho                    82.0
156   Ho                   449.0
157   Ho                   102.0
159   Ho                    80.0
160   Ho                   276.0
161   Ho                    24.0
162   Ho                    28.0
162   Ho_isomer             95.0
163   Ho                     0.0
164   Ho                    10.0
164   Ho_isomer             16.0
166   Ho                     7.0
166   Ho_isomer            269.0
167   Ho                    66.0
168   Ho                   142.0
168   Ho_isomer              2.0
170   Ho                   281.0
154   Er                    21.0
156   Er                    22.0
159   Er                   149.0
161   Er                   163.0
163   Er                    13.0
165   Er                    13.0
167   Er_isomer             19.0
169   Er                     0.0
171   Er                    69.0
172   Er                    92.0
173   Er                   141.0
161   Tm                   191.0
